plannerId,checkDate,processDate,periodStartDate,periodEndDate,payGroup,runType
022f545c-6a4d-0000-0000-0000fb700200,2025-08-15T00:00:00,2025-08-13T00:00:00,2025-08-01T00:00:00,2025-08-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
ccad57eb-a569-0000-0000-0000fb700200,2025-08-15T00:00:00,2025-08-13T12:00:00,2025-08-04T00:00:00,2025-08-10T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
05be9716-6d5d-0000-0000-0000fb700200,2025-08-22T00:00:00,2025-08-20T12:00:00,2025-08-11T00:00:00,2025-08-17T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
420a76d6-6e91-0000-0000-0000fb700200,2025-08-29T00:00:00,2025-08-27T12:00:00,2025-08-18T00:00:00,2025-08-24T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
7544d30f-bd1b-0000-0000-0000fb700200,2025-08-29T00:00:00,2025-08-27T00:00:00,2025-08-16T00:00:00,2025-08-31T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
2c57dfea-76a8-0000-0000-0000fb700200,2025-09-05T00:00:00,2025-09-03T12:00:00,2025-08-25T00:00:00,2025-08-31T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
b9d6262b-a953-0000-0000-0000fb700200,2025-09-12T00:00:00,2025-09-10T12:00:00,2025-09-01T00:00:00,2025-09-07T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
59741cd4-1581-0000-0000-0000fb700200,2025-09-15T00:00:00,2025-09-11T00:00:00,2025-09-01T00:00:00,2025-09-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
9cf00319-e0d0-0000-0000-0000fb700200,2025-09-19T00:00:00,2025-09-17T12:00:00,2025-09-08T00:00:00,2025-09-14T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
c73aa179-365f-0000-0000-0000fb700200,2025-09-26T00:00:00,2025-09-24T12:00:00,2025-09-15T00:00:00,2025-09-21T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
41fec951-fd09-0000-0000-0000fb700200,2025-09-30T00:00:00,2025-09-26T00:00:00,2025-09-16T00:00:00,2025-09-30T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
9863c669-53d3-0000-0000-0000fb700200,2025-10-03T00:00:00,2025-10-01T12:00:00,2025-09-22T00:00:00,2025-09-28T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
c14983de-6c86-0000-0000-0000fb700200,2025-10-10T00:00:00,2025-10-08T12:00:00,2025-09-29T00:00:00,2025-10-05T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
9f59e842-f707-0000-0000-0000fb700200,2025-10-15T00:00:00,2025-10-10T00:00:00,2025-10-01T00:00:00,2025-10-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
